number_plate,image_link,detected_number_plate,driver_violation,passenger_violation,message
KA51Z9702,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA51Z9702_1764417665043.jpg,KA51Z9702 (0.956),,passenger_not_wearing_seatbelt (0.52),Violation detected
KA03MB8917,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03MB8917_1764414874512.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09N7907,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09N7907_1764423156556.jpg,,,,No violation detected - all occupants wearing seatbelts
KA04MX6687,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA04MX6687_1764418096378.jpg,,,,No violation detected - all occupants wearing seatbelts
KA50Z4311,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA50Z4311_1764413293093.jpg,,,,No violation detected - all occupants wearing seatbelts
KA53MC5724,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA53MC5724_1764412954274.jpg,,,,No violation detected - all occupants wearing seatbelts
KA50P1237,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA50P1237_1764418623165.jpg,KA50P1237 (0.942),,passenger_not_wearing_seatbelt (0.75),Violation detected
KA35B2637,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA35B2637_1764417420450.jpg,,,,No violation detected - all occupants wearing seatbelts
KA19MG3606,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA19MG3606_1764419144448.jpg,,,,No violation detected - all occupants wearing seatbelts
KA05MY2735,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA05MY2735_1764429910730.jpg,,,,No violation detected - all occupants wearing seatbelts
KA02MB7193,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA02MB7193_1764421014622.jpg,,,,No violation detected - all occupants wearing seatbelts
KA03NA9263,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA03NA9263_1763522389770.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09Z2900,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09Z2900_1763521044680.jpg,KA09Z2900 (0.998),,passenger_not_wearing_seatbelt (0.74),Violation detected
KA53MA3963,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA53MA3963_1763522874628.jpg,,,,No violation detected - all occupants wearing seatbelts
KA03ML8331,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA03ML8331_1763525248862.jpg,KA03ML8331 (0.977),,passenger_not_wearing_seatbelt (0.79),Violation detected
KA09MD1058,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09MD1058_1763523164236.jpg,,,,No violation detected - all occupants wearing seatbelts
KA11F0443,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA11F0443_1763525020527.jpg,,,,No violation detected - all occupants wearing seatbelts
KA42F1959,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA42F1959_1763525020701.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MC9226,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09MC9226_1763522862945.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MB0537,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09MB0537_1763521709791.jpg,,,,No violation detected - all occupants wearing seatbelts
KA55A1793,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55A1793_1763521805911.jpg,,,,No violation detected - all occupants wearing seatbelts
